generation,best_fitness,mean_fitness,std_fitness,mutation_rate
0,-132.35206603382457,-538.6656876159568,215.59916968267763,0.05
1,-104.57502129351629,-401.077068214975,258.17687119463386,0.05
2,-104.57502129351629,-310.2331981521001,226.64727208910452,0.05
3,-81.46501672307092,-287.0292765593216,224.6539676939229,0.05
4,-81.46501672307092,-263.72214377769376,199.88525232399124,0.05
5,-81.46501672307092,-294.39209679697143,226.896206533176,0.05
6,-81.46501672307092,-194.93689746174059,147.5505864538707,0.05
7,-81.46501672307092,-255.53252332457944,226.10218310066483,0.05
8,-81.46501672307092,-218.65995388077943,165.41419787536705,0.05
9,-81.46501672307092,-223.65448009018783,178.66057267199116,0.05
10,-81.46501672307092,-192.64676867898302,150.01692778713885,0.05
11,-81.46501672307092,-180.50403888995928,122.44838414019598,0.05
12,-81.46501672307092,-217.91305132119643,174.42258510345937,0.05
13,-78.52257019795402,-206.8444504320243,167.21879084868078,0.05
14,-78.52257019795402,-210.72254369864424,165.69231749096392,0.05
15,-72.91247542823247,-195.15914208877388,143.22350977193082,0.05
16,-72.91247542823247,-216.80027768715394,180.6991756879228,0.05
17,-72.91247542823247,-211.3046628105434,160.7641911468358,0.05
18,-72.91247542823247,-227.53548610650094,186.26066277928723,0.05
19,-72.91247542823247,-211.80506616197934,161.13334053031943,0.05
20,59.694422790833805,-213.58354539668704,179.33375520977054,0.040050929534861036
21,59.694422790833805,-202.30652678475158,170.42306299317244,0.040050929534861036
22,59.694422790833805,-176.04508901905797,130.28529422437782,0.040050929534861036
23,59.694422790833805,-191.3370901457643,145.86463456298537,0.040050929534861036
24,59.694422790833805,-194.4881210729777,147.82745141570794,0.040050929534861036
25,59.694422790833805,-182.3721372919311,155.69117695006423,0.040050929534861036
26,59.694422790833805,-181.94350616133187,124.65486644810755,0.040050929534861036
27,59.694422790833805,-176.93398112871287,125.86728286077448,0.040050929534861036
28,59.694422790833805,-168.25928624544568,115.20740050377819,0.040050929534861036
29,59.694422790833805,-171.3458249166906,120.24946855402348,0.040050929534861036
30,59.694422790833805,-170.53179615422835,112.21824984188525,0.040050929534861036
31,59.694422790833805,-186.9902574798321,135.27711844010545,0.040050929534861036
32,59.694422790833805,-200.70915879100343,162.3791080739769,0.040050929534861036
33,59.694422790833805,-233.5472207088568,196.1126428497442,0.040050929534861036
34,59.694422790833805,-198.3323874194206,147.85832716798396,0.040050929534861036
35,59.694422790833805,-196.32691987578124,155.76243986974944,0.040050929534861036
36,59.694422790833805,-182.44858246129962,135.19777766352684,0.040050929534861036
37,59.694422790833805,-206.1367501303812,204.96875990645896,0.040050929534861036
38,59.694422790833805,-194.57047192876516,165.49013739464962,0.040050929534861036
39,59.694422790833805,-183.32813586461643,140.21880901076483,0.040050929534861036
40,59.694422790833805,-195.47658586220655,154.63377244002513,0.040050929534861036
41,59.694422790833805,-199.69757667443042,159.6183209037618,0.040050929534861036
42,59.694422790833805,-193.72744768845942,153.0730947598406,0.040050929534861036
43,59.694422790833805,-202.65176116599278,163.63236697030172,0.040050929534861036
44,59.694422790833805,-183.7175783616056,149.62479217045254,0.040050929534861036
45,59.694422790833805,-202.15189377722353,158.96034826408578,0.040050929534861036
46,59.694422790833805,-184.25775971201693,169.37709725482458,0.040050929534861036
47,59.694422790833805,-183.6477233587328,131.0105245131936,0.040050929534861036
48,59.694422790833805,-185.5149723553619,133.98393412315951,0.040050929534861036
49,59.694422790833805,-176.40693738582496,127.84165442505447,0.040050929534861036
