generation,best_fitness,mean_fitness,std_fitness,mutation_rate
0,-98.23468147325866,-584.2730862500747,231.1489435842019,0.05
1,-98.23468147325866,-400.8623002270786,233.53195597162306,0.05
2,-98.23468147325866,-363.50842695534845,253.4926950232849,0.05
3,-98.23468147325866,-270.0575162993351,211.35768679481188,0.05
4,-98.23468147325866,-218.72370740884912,163.33482053682712,0.05
5,-98.23468147325866,-243.29355772832167,200.26459571666354,0.05
6,-98.23468147325866,-223.17504239756389,181.00748981605363,0.05
7,-98.23468147325866,-236.5434539253323,190.40876394898225,0.05
8,-98.23468147325866,-226.4333384670082,185.88547806590083,0.05
9,-98.23468147325866,-243.7030846551361,194.9611035202779,0.05
10,-98.23468147325866,-224.99762319178473,186.78428545408477,0.05
11,-98.23468147325866,-210.8388862697571,169.23478467347437,0.05
12,-98.23468147325866,-226.65457112529216,194.30946834498542,0.05
13,-98.23468147325866,-204.8134559388064,165.41908312843066,0.05
14,-98.23468147325866,-234.5905624449546,186.86227587992528,0.05
15,-98.23468147325866,-221.06175268389438,192.41885662358604,0.05
16,-98.23468147325866,-209.63663088905798,160.90275065121276,0.05
17,-98.23468147325866,-213.49262848133492,177.85122837629922,0.05
18,-62.13547828700975,-215.66612165018748,178.64588183433153,0.05
19,-62.13547828700975,-254.25116382791538,251.5210498657488,0.05
20,-62.13547828700975,-208.12998652815477,185.53936959485145,0.05
21,-62.13547828700975,-187.48821590061493,146.87757962054087,0.05
22,-62.13547828700975,-220.6867876356642,192.44515685736064,0.05
23,-62.13547828700975,-183.46573976910463,151.01672957532193,0.05
24,-62.13547828700975,-197.1649745784944,166.66052661466412,0.05
25,-62.13547828700975,-190.23614586889974,155.40400561741956,0.05
26,-62.13547828700975,-177.37539226149846,134.50723999845093,0.05
27,-62.13547828700975,-226.38395014446203,195.0949661794618,0.05
28,-62.13547828700975,-184.86413964836828,146.97186366495777,0.05
29,-62.13547828700975,-203.48649641291502,168.40201370737202,0.05
30,-62.13547828700975,-194.11861884488687,142.2663906133737,0.05
31,-62.13547828700975,-219.2453406433075,194.6282589532272,0.05
32,-62.13547828700975,-175.9387037639387,125.92841338194285,0.05
33,-62.13547828700975,-184.37358231549106,142.09378509853565,0.05
34,-62.13547828700975,-178.94965402029686,126.86157305687696,0.05
35,-62.13547828700975,-189.2315769766892,140.48683500630167,0.05
36,-62.13547828700975,-164.32449169827098,118.50588754473435,0.05
37,-62.13547828700975,-210.21905682665593,165.275205108763,0.05
38,-62.13547828700975,-223.78576492621644,208.56675390055258,0.05
39,-62.13547828700975,-214.7199517137434,183.28710091175148,0.05
40,-62.13547828700975,-194.64034291214244,152.20151926915966,0.05
41,-62.13547828700975,-236.546425835197,217.20769962602682,0.05
42,-5.613830300142482,-208.36509714978635,191.9123876220777,0.05
43,-5.613830300142482,-229.80369038511736,192.0189914078223,0.05
44,-5.613830300142482,-208.64729148957707,185.4348620267014,0.05
45,-5.613830300142482,-202.36757181913345,160.88148547215178,0.05
46,-5.613830300142482,-250.75911528076895,208.31422932276953,0.05
47,-5.613830300142482,-232.97976939050113,201.56554111124575,0.05
48,-5.613830300142482,-227.80940183056623,199.53899450583336,0.05
49,-5.613830300142482,-197.0064888352676,167.72822250424562,0.05
