episode,eval_reward,avg_reward
0,-140.53523593807736,-120.5673421986206
10,-141.23008782524434,-211.504078343355
20,-124.75614017693849,-200.44774009691008
30,-176.92428522793466,-199.91411105827063
40,-226.26540131137685,-195.88726721649047
50,-63.445373661794044,-201.3423341181147
60,-268.6242827938842,-199.9314646553049
70,-211.44594031973196,-193.6541746536333
80,-93.2206336835706,-190.21799002745422
90,-134.02394645499555,-180.48114435318
100,-206.6916606229547,-179.1286943575723
110,-220.657043074824,-172.42885349738935
120,-208.69995213835827,-172.51004554333508
130,-132.03473759514063,-164.53229870100947
140,-153.77709217274952,-167.70698189437712
150,-110.80125161747576,-156.36476173432058
160,-155.21495034247783,-158.03160214605873
170,-161.61390560562592,-161.81663168427184
180,-176.25266733570598,-155.32246330736263
190,-121.80858679276926,-158.77498331247614
200,-120.65240845052922,-153.2995793869973
210,-153.34566579126778,-151.8249675772179
220,-173.09088916996143,-145.24284253613263
230,-148.40250444726104,-148.36598731456638
240,-115.68598951680333,-141.3945771955624
250,-116.63949355885862,-142.5309340523633
260,-101.52403497611274,-137.40983935489382
270,-93.0390821391489,-130.3556140874042
280,-172.33752989051945,-133.42568551589255
290,-123.1334329802396,-130.57720589266432
300,-134.5023964828742,-135.83324878785135
310,-191.59143101824554,-132.0945674703312
320,-133.9248683272776,-131.79184722362933
330,-139.11872457180235,-128.5989774546225
340,-109.73253720086245,-127.27627344836132
350,-179.50359106008952,-126.89548909389319
360,-117.85851178607838,-123.90070486705396
370,-134.66728515055595,-123.78987142060869
380,-151.20378507946845,-122.33817332294517
390,-105.20767812103759,-122.29520868155703
400,-135.42519782873924,-120.06593648459635
410,-184.16236996472406,-121.28376225293927
420,-112.79167636755696,-125.88794854989006
430,-140.69459920615972,-128.0626259031043
440,-126.8090665629855,-127.32756390478093
450,-88.25915006064291,-127.25337142116611
460,-168.62734931673327,-127.16652916470677
470,-99.5724910448603,-132.4019938023843
480,-118.38608746206675,-134.82951396506098
490,-140.0280667089428,-136.13338897437345
500,-91.51981745792907,-133.83551579037868
510,-117.42244925688344,-133.9074398252077
520,-190.49267530953279,-131.88761471921123
530,-134.2416119789714,-134.05643620885905
540,-80.53205529574056,-132.3862763481419
550,-89.97913629470891,-131.81584089189707
560,-95.55232525893572,-132.44140590034704
570,-143.59728725308122,-127.35570827131714
580,-80.25803026781614,-123.23268644813326
590,-113.20020039566198,-120.39939466091086
