episode,eval_reward,avg_reward
0,-159.3983402448533,-184.20860085000362
10,-286.477000014576,-215.2850661277341
20,-254.89262061359017,-202.37778981102733
30,-419.1501899751041,-215.28511629037743
40,-282.83459131100255,-249.8497795075454
50,-133.02069860940406,-229.9692950134104
60,-216.97068073816234,-220.52784013159697
70,-215.95210210298737,-220.343085798956
80,-222.9573178566001,-221.99294549094793
90,-196.6512829041282,-224.87216545650466
100,-216.74718228965736,-222.3896847144316
110,-80.18046393564755,-217.1795029114123
120,-512.8813181249427,-215.03823824746127
130,-339.3830175892255,-266.31724843753994
140,-152.96946999377843,-241.2542874840518
150,-132.1825911626385,-239.74965292625143
160,-144.1823133935878,-232.98440853503746
170,-246.2310684652553,-233.23519912071345
180,-303.76218479712423,-232.15435549100957
190,-221.47125357567694,-222.00571709421024
200,-162.00477375462108,-218.36108068962196
210,-151.32566507484566,-212.75663898604307
220,-145.0790963073837,-209.92562086596234
230,-158.21213018802473,-148.8164532383791
240,-165.52907159610868,-154.17637804435444
250,-175.59621936692588,-156.69959780487054
260,-149.69987691601008,-161.63952177704311
270,-113.57581986430486,-152.43580140196488
280,-133.43573862075937,-142.14205129450184
290,-136.95103591330027,-140.50237423005308
300,-156.1460363517531,-139.8651710688293
310,-141.64438792707503,-142.9294615901743
320,-148.4604860088853,-143.81064617317804
330,-162.8355355024307,-144.174741176258
340,-98.86153843901891,-142.93544793441313
350,-148.55620312282218,-142.38842610399013
360,-148.7758628160766,-141.20405890767628
370,-174.45116382926804,-145.06520579027065
380,-216.42536715234527,-153.71792609464075
390,-191.9144248591022,-161.66534847704358
400,-233.9681220945491,-165.63195373223903
410,-153.80399479778947,-166.2882620900825
420,-193.13826061391586,-169.31546816709445
430,-226.38087651390046,-174.56392680145936
440,-206.63391613098892,-182.35952333125235
450,-158.4107547643464,-187.02998190521913
460,-155.51845012208574,-192.5354454998144
470,-197.27114257057085,-195.35351238877277
480,-182.0786583876725,-195.33628939513136
490,-147.94181783374157,-193.3067657433907
500,-121.1338620903517,-187.41277246213488
510,-145.64121072458985,-184.50309136022213
520,-129.50717951311358,-179.69844675581746
530,-98.17337341319174,-171.34745590690548
540,-127.71576247533201,-162.50661310596786
550,-142.42318804717152,-154.95109097164385
560,-166.31988544706002,-147.17696996389904
570,-174.35288971371511,-142.49639011458714
580,-183.67595219334856,-138.66120935660214
590,-229.02780354605738,-135.35643081770385
