episode,eval_reward,avg_reward
0,-221.28569765922362,-228.9956781984957
10,-414.4890490345694,-339.8980714116688
20,-200.3581595558265,-285.39376774781306
30,-145.35884890656368,-233.41761805107572
40,-238.27411660627385,-221.9909280391363
50,-215.66502017626414,-214.10446079643128
60,-232.62424867927317,-217.24402530670338
70,-218.2682596328892,-230.2790250753321
80,-133.02458059644204,-224.49484012096886
90,-134.66745364916818,-210.4568889550858
100,-146.1915114199943,-202.99300748249408
110,-187.8487259554376,-185.2752464657581
120,-142.03610207891433,-179.78974963230795
130,-124.6071802304577,-186.17970109730177
140,-144.2958831220362,-184.38805984667135
150,-198.29971627553806,-181.89915575660999
160,-169.62014086191638,-172.72523816797627
170,-177.33924045752102,-156.15385490804087
180,-181.58540963631017,-155.35719578533434
190,-125.49818664506475,-163.86001351806885
200,-115.44299346956402,-166.46514064829023
210,-100.54445820034552,-163.16107744516768
220,-124.54996701916521,-159.26561090916408
230,-144.27630443133387,-155.12311664040936
240,-128.9725518126279,-152.66002047678376
250,-147.30945281388148,-149.19625565084357
260,-145.18975324159018,-148.96497100795955
270,-93.14513840450277,-150.52370565085369
280,-112.66379527130307,-147.39948383809192
290,-132.8957058126471,-143.70237816902286
300,-108.19001096844428,-139.7228114752472
310,-102.6916857847696,-138.57946511381616
320,-130.42056775821072,-139.4855212667526
330,-99.18963810755228,-137.85034494419128
340,-103.27002099121435,-136.8407342801033
350,-124.26637720558256,-136.76374174402375
360,-147.12586313678975,-137.2778161540993
370,-138.59711468359615,-132.5978985686137
380,-126.52376065703152,-132.91349300304134
390,-132.01655739596126,-133.29167181627724
400,-136.51657039878197,-133.14820571370115
410,-132.55634585382944,-132.22523924489136
420,-131.62323142506202,-132.42058870545048
430,-161.04383947867075,-133.6274625519932
440,-115.9876210903436,-135.43060108039973
450,-114.28471648781701,-135.5043890353727
460,-149.99376193165807,-133.06110876668828
470,-106.96620536631079,-135.09982448798917
480,-136.235096426864,-132.9883756035196
490,-137.80584106780842,-132.85246745865769
500,-94.3582166698526,-132.15813916684908
510,-123.64545835235849,-135.40910557077459
520,-126.05563649491907,-133.79160679920093
530,-140.44800972875265,-135.10315572107675
540,-104.657322066613,-129.51986730369487
550,-124.80565985525907,-131.16984032696166
560,-105.4167039398861,-133.76796395556516
570,-140.71105649024804,-135.26019039876962
580,-133.31649849945475,-135.058849922111
590,-132.62990365406125,-134.29560949383847
