episode,eval_reward,avg_reward
40,-220.69751619689742,-71.08512130356857
80,-278.3550878980678,-35.096998782284146
120,-235.67243577340196,-73.51173347432956
160,-192.13540873022401,-71.88233898789039
200,-105.97744406565945,-56.597412759084946
240,-168.064299023976,-88.27969175138469
280,-279.58181300227653,-55.01479652978201
320,-198.20721741794054,-108.38332688977094
360,-108.52282553859091,-74.7436749740993
400,-173.216087864557,-31.15244294914374
440,-326.11985914489077,-59.17060250613357
480,-200.30287086480138,-101.67710109975019
520,-117.76079988563038,-92.34774596410101
560,-98.25235519669508,-77.73529459057255
600,-119.82044719029557,-91.72666486109054
