episode,eval_reward,avg_reward
0,-207.9276640116294,-414.5421233036538
10,-131.63495349922945,-148.5160609061959
20,-186.80954836511393,-169.58326229835737
30,-282.3904493618747,-208.79297508287374
40,-157.18731778860624,-204.4922966275954
50,-177.09066782154304,-191.13199629073492
60,-105.62326727091605,-183.2763723851829
70,-126.05385662470151,-177.09296472109799
80,-122.33348092638889,-171.2323680679866
90,-138.23084961648016,-165.82491619699806
100,-82.11535174071933,-159.8234763229984
110,-100.22124010484723,-160.69668920656414
120,-137.73918866620494,-153.12308931771588
130,-107.98650072193004,-136.60720815195492
140,-129.43394385064676,-127.47878593304802
150,-116.82050633191719,-126.00010787815168
160,-128.16799541591337,-122.5506025467592
170,-80.29550121333371,-121.09927041455101
180,-98.32357327504008,-120.77886559411205
190,-163.3688955889008,-117.76262586029517
200,-115.40428271651494,-116.3540901096954
210,-71.18520087530021,-116.53287984054813
220,-126.51199579907254,-115.6035305416682
230,-121.93504562431868,-115.10266641560736
240,-137.5512064029553,-116.09478247785454
250,-75.54565178977177,-120.63734711466651
260,-311.43371911415045,-124.50952845967136
270,-138.72670394217113,-137.10109212862798
280,-378.9613125596843,-152.38844387963135
290,-194.99760276191734,-163.79320370939192
300,-646.642953783168,-189.10451925313245
310,-211.47892341338655,-210.1729335356273
320,-392.9762098275011,-229.63809386304692
330,-506.868580464575,-255.7430608792535
340,-513.5129936924487,-279.14203714456295
350,-250.55074841869992,-298.7696354985858
360,-269.5696215451543,-317.8362941764677
370,-459.4665362452776,-327.1423316034485
380,-382.68987896493707,-342.5064188992073
390,-382.65637929121044,-348.6695370062014
400,-274.87986707331874,-350.3734797255828
410,-467.32636041170946,-342.23165882744297
420,-289.4192841822293,-378.5038126705629
430,-233.80812035514435,-403.4870390825544
440,-378.227955528583,-423.48194380268154
450,-584.834328022887,-458.05213282532964
460,-417.8590852798262,-537.5179703146016
470,-403.79139779548075,-563.042410957773
480,-1024.7683967511061,-621.1026617255866
490,-389.80912599613004,-672.6849250388632
500,-663.3210460706281,-709.7142696472218
510,-361.4229121690047,-759.2036609170501
520,-1145.4283881547622,-717.7533308666527
530,-580.5401352769477,-718.2292708351363
540,-374.6918120848731,-758.20560053165
550,-691.7665546031741,-754.8293122820982
560,-306.24205583241456,-695.4178478977253
570,-986.7754629143121,-683.5621799257799
580,-441.65233452594305,-631.913367722361
590,-640.0052797933519,-609.3960630009556
