episode,eval_reward
60,-152.8409349582968
120,-138.9142502592271
180,-153.17740739877576
240,-137.69307217897358
300,-139.55788262900228
360,-134.09843421671798
420,-127.01444639822925
480,-141.0033514473985
540,-140.72231896364676
600,-117.38317379170898
660,-173.3165375106782
720,-121.31900317002078
780,-149.20412046642042
840,-144.99348299389433
900,-142.22511813805173
960,-105.99967148164049
1020,-133.67732714200002
1080,-119.1434947428354
1140,-132.01668799111715
1200,-117.69768273710113
1260,-112.48944293366844
1320,-123.42542841372794
1380,-135.15136078970923
1440,-125.12629185763119
1500,-126.20765342170868
1560,-130.17586001005708
1620,-141.91719156495634
1680,-130.5068831316932
1740,-136.71520532418035
1800,-162.01798566217462
1860,-157.7574069874532
1920,-131.0725995624576
1980,-138.93486169635037
2000,-154.19497332199572
