episode,eval_reward
60,-540.1245773797773
120,-139.26266355691791
180,-141.2179355041573
240,-131.0044416737475
300,-139.42893629865677
360,-117.41416504252655
420,-2406.7096501053747
480,-157.4330827980372
540,-118.18963262055377
600,-120.91849717672926
660,-133.53877458390707
720,-113.07727999219537
780,-142.36304936946695
840,-126.8701089929672
900,-89.89191004614663
960,-142.2111310590265
1020,-132.84996935375457
1080,-155.86569765417138
1140,-124.14988791944252
1200,-138.0104681250968
1260,-113.12139842690758
1320,-145.03945562811072
1380,-122.89937141068462
1440,-117.71389527559973
1500,-90.01031806476986
1560,-119.75822876908562
1620,-50.413470468045944
1680,-135.07206520564068
1740,-117.77808766469384
1800,-121.71147042838477
1860,-163.37930021054257
1920,-169.68253351026343
1980,-131.00313721468257
2000,-147.52930072937846
