generation,episode,ff_lr_0,ff_lr_1,ff_lr_2,ff_thresh_0,ff_thresh_1,ff_thresh_2,policy_lr,goodness_type
1,60,0.022298875937650935,0.01899341145019461,0.015119627206548029,1.915256994535382,2.5749736740262956,3.0869091516780136,0.0033123070876728052,2
2,120,0.04680413792603343,0.03624675576914541,0.032032891369272856,3.3343805047851576,3.201951819599593,0.6164803590788399,0.012986286283885696,0
3,180,0.009677687248985416,0.043517977957900036,0.0027259664129475588,1.3109013650008323,5.7030837888276595,5.131066082278544,0.00515139021529089,2
4,240,0.04713838787242751,0.037813794975266206,0.03936092467352175,3.1262484667421457,2.827179225521327,0.6746076175101101,0.018261367494005358,0
5,300,0.040324224391185826,0.03460384448814896,0.05081535430180404,2.948884247224263,2.647873824597415,0.9135538529680138,0.012920503641510206,0
6,360,0.012768996630764326,0.05017441020162455,0.004611197458835861,1.551024256063488,5.532055658623993,5.093763799214151,0.005383502703422233,2
7,420,0.026423952173764184,0.06852846809050182,0.006589890673687839,1.866039600427065,6.27413747348755,5.418259780827916,0.005143925487820478,1
8,480,0.0197636496226891,0.07180338483874607,0.004401408335672759,1.9774175829089764,5.717477678287453,4.96640168947446,0.003151765344391234,1
9,540,0.02022962582133937,0.056152242691458826,0.004778081049785421,2.6199710853306986,6.4693217531824985,4.877943743284608,0.0029401561447746105,0
10,600,0.024056387767785844,0.07172373600135648,0.0046893444235536885,1.547677376526337,6.190779306649906,4.897398991737099,0.0028165672371240763,1
11,660,0.023507662634707594,0.051283756673752616,0.004770617942727536,2.0486435039823387,6.190269416680613,5.385798719898477,0.004262652155162272,1
12,720,0.026668523147876624,0.05293688697792721,0.00664923530349524,2.2188263705790097,6.569373390293461,5.443853337870486,0.005067296652822618,1
13,780,0.021784831139931973,0.042859911279212896,0.0064228581960481534,2.1771740985386185,6.459847763190955,5.214942527945473,0.004983010926407105,1
14,840,0.025692558436558523,0.08461357120352364,0.0019688782366376755,2.4412735477426475,6.597626058587525,5.083980662841263,0.0032661288506826997,0
15,900,0.029098864441933263,0.03562162012245562,0.011982639898860585,1.58716556700156,7.2456971113354145,5.178031895067536,0.005381912480482548,1
16,960,0.02513987389293403,0.017746691842254053,0.015307947092215784,1.3572189512309998,6.911745806794266,4.863032652785048,0.005590581703341756,0
17,1020,0.038064991275635056,0.04096394401648634,0.023264591770315913,2.491372182862702,7.206177500840045,5.212802494641471,0.003997302597301354,1
18,1080,0.016573066680912314,0.03276436300206811,0.002681508678547547,2.5579193380780123,6.267297210517802,4.614280482289515,0.005239501526574134,0
19,1140,0.01548637715572542,0.028338059713518115,0.0032736646349721802,2.3467087867896157,6.082113366771148,4.805228628914927,0.005024356082650779,0
20,1200,0.020138279731934387,0.02479584046105047,0.0028887703857387813,2.504534819238715,6.601969249631709,4.022546905496353,0.005072267320249404,0
21,1260,0.01239230327385525,0.012732347900878382,0.002303398884430591,2.8770693675023766,6.505598195298045,4.717997909254854,0.009186141396735067,0
22,1320,0.013023857308659136,0.028625114416279802,0.002626533581572929,2.05752619955778,5.878414987405434,4.232073374076036,0.004907656967797625,0
23,1380,0.010983561426219786,0.020873700739153782,0.0019832344032662233,2.527336627143794,6.4091227347952096,4.722987018638104,0.007677403660190691,1
24,1440,0.009043480556822771,0.022080550099291676,0.002222235692716859,1.979740064864449,6.104550992204309,4.309264345041587,0.0078016176335260435,0
25,1500,0.012969196510320165,0.029330170205364672,0.00319782712397331,1.9586811553137164,5.651079735823756,4.214593656534603,0.005457748309095636,2
26,1560,0.014358649559125684,0.024770406251028918,0.0018981784998194503,2.5126131781487597,4.968999563864822,5.953264068810876,0.007287020968761991,1
27,1620,0.011984930350081616,0.07418753656177503,0.0019279378311058842,1.1650359181283854,5.330313627482263,4.9720253249655615,0.007275016330334232,2
28,1680,0.018444908505133348,0.018384577451919026,0.0025496030843599666,1.833207460232049,5.855573510528537,5.224306435393616,0.006764604576210713,2
29,1740,0.008047701537818074,0.04724437183621027,0.003207775499518198,2.1918400413983092,4.807362718863801,5.6002875413703554,0.006449729457027399,1
30,1800,0.006679791189687526,0.047409791539806415,0.002540294176576573,2.9241299628476183,5.153704958617583,5.876592073921105,0.00489688642057742,1
31,1860,0.026600547115778295,0.010000421080624643,0.004175697602174098,1.7725841522052834,6.047998324933053,5.652416124659279,0.007607423750749126,2
32,1920,0.014850418109537534,0.025654842728515686,0.0011265288510075159,1.4762757444658536,5.3361208460968985,5.496386623580293,0.010997986466833653,1
33,1980,0.00977079792166841,0.03598146064588179,0.002353272997224612,2.707861022875606,6.020944726342375,5.717002370888067,0.003914034762057306,1
34,2000,0.00977079792166841,0.03598146064588179,0.002353272997224612,2.707861022875606,6.020944726342375,5.717002370888067,0.003914034762057306,1
