gen,best,mean,std,best_ever,total_evals,time
0,-99.72672847876083,-136.78696671558325,19.365562560343694,-99.72672847876083,350,5.26236891746521
1,-70.93409424527559,-474.97394357306,340.9078853804994,-70.93409424527559,700,11.528625249862671
2,-114.88227106732066,-417.26711693292935,295.1464648170305,-70.93409424527559,1050,17.422020435333252
3,-116.75911282576396,-310.41873755624465,241.7550376721597,-70.93409424527559,1400,23.201339960098267
4,-117.19546416715441,-269.14716500700973,216.18060353834184,-70.93409424527559,1750,28.69382953643799
5,-114.5583456287629,-222.3250022095259,176.21864706476762,-70.93409424527559,2100,34.10240364074707
6,-79.99795695736701,-198.29274419913222,239.8393195922277,-70.93409424527559,2450,39.54895353317261
7,-94.98291991562284,-168.1657154612171,116.34814393720332,-70.93409424527559,2800,44.99176263809204
8,-105.23815357298162,-163.20327489064735,163.98495232086205,-70.93409424527559,3150,50.34607434272766
9,-89.64219429501108,-215.0766476058978,233.41739299567547,-70.93409424527559,3500,56.069169759750366
10,-94.20174045808878,-186.32252020468835,144.86786947646306,-70.93409424527559,3850,61.535861015319824
11,-42.96388173623287,-187.6224895861468,164.56691825332305,-42.96388173623287,4200,67.13969397544861
12,-99.33155686565641,-167.3190262924898,130.95421018611404,-42.96388173623287,4550,72.64028310775757
13,-96.02772349107349,-174.10234412827333,138.18936926118442,-42.96388173623287,4900,78.10010957717896
14,-100.87150655613763,-149.44459812331,75.67249495317708,-42.96388173623287,5250,83.31464409828186
15,-84.52704063296129,-158.76917899269677,187.71179115132824,-42.96388173623287,5600,88.9085795879364
16,-94.96284673846515,-156.9359512764658,136.33744405544877,-42.96388173623287,5950,94.39817571640015
17,-81.45275908081295,-149.3514784943628,69.95643861623896,-42.96388173623287,6300,99.7723822593689
18,-53.1808483261407,-136.20462892676423,28.93658799654466,-42.96388173623287,6650,105.31862449645996
19,-97.3540228002034,-136.9717884581314,19.576617531263476,-42.96388173623287,7000,110.58770179748535
20,-103.41322192020286,-138.74119647320157,18.69755655637912,-42.96388173623287,7350,115.94022846221924
21,-53.22100198627038,-140.71354042582234,66.09304970109783,-42.96388173623287,7700,121.53460931777954
22,-90.09048212349072,-138.21118104805655,37.935549858058785,-42.96388173623287,8050,127.24315786361694
23,-93.7830506208516,-139.7664272663037,27.75296808706615,-42.96388173623287,8400,133.03577971458435
24,-39.76153915509984,-141.9499544093844,34.39565692429054,-39.76153915509984,8750,138.52384161949158
25,-89.12319049266095,-149.0751916374325,59.67247593489933,-39.76153915509984,9100,144.1510992050171
26,-93.85050012091327,-149.95455536314535,71.51542139791854,-39.76153915509984,9450,149.5006811618805
27,-98.15235102360644,-142.72341863550983,45.623340412898024,-39.76153915509984,9800,154.6942744255066
28,-97.7076516973754,-164.8200112344482,108.30829769827612,-39.76153915509984,10150,159.8652036190033
29,-97.76664924775267,-140.42901784882602,42.91820509168008,-39.76153915509984,10500,165.05491518974304
30,-110.26744975746246,-143.00297527340948,43.832902457664034,-39.76153915509984,10850,170.25260138511658
31,-110.63337435283763,-153.41654311285424,181.25405229969667,-39.76153915509984,11200,175.563383102417
32,-90.23304406881998,-137.19763241311287,21.351079187004387,-39.76153915509984,11550,180.89277291297913
33,-87.30543944904937,-138.58294945579735,17.50440990734505,-39.76153915509984,11900,186.18534350395203
34,-88.55885307163042,-140.17352457424042,35.962329407035476,-39.76153915509984,12250,191.44505882263184
35,-88.96919210640017,-135.33683268473874,20.50462769519857,-39.76153915509984,12600,197.15472793579102
36,-95.79950483244615,-135.16020143227442,23.26946897552355,-39.76153915509984,12950,202.73220419883728
37,-102.29419671791584,-138.69104890262207,18.72912344029866,-39.76153915509984,13300,208.31751799583435
38,-91.67279643459062,-134.80687327068605,19.87349124428777,-39.76153915509984,13650,213.62104082107544
39,-102.85495570530749,-135.22856064470798,16.83274445952172,-39.76153915509984,14000,218.7739062309265
40,-96.72065754243184,-134.05507155178202,18.455022368216817,-39.76153915509984,14350,224.08014011383057
41,-108.64579336278541,-138.48209993101338,17.236573865244953,-39.76153915509984,14700,229.56712365150452
42,-95.43117267422424,-134.9609602830026,17.66256114577199,-39.76153915509984,15050,234.85496640205383
43,-82.44525185141097,-136.36567313323127,64.95483655931925,-39.76153915509984,15400,240.49049997329712
44,-75.105203014175,-144.33761913619472,69.29182103447285,-39.76153915509984,15750,245.7519519329071
45,-87.05314604905242,-141.1195282147369,36.37208315641399,-39.76153915509984,16100,250.94654726982117
46,-92.76455308344778,-141.05849694240374,33.16515607822295,-39.76153915509984,16450,256.4139652252197
47,-89.47224199541915,-134.3591013812174,22.032394533757987,-39.76153915509984,16800,261.71976041793823
48,-107.91234451432202,-137.1688182148968,19.57260093864431,-39.76153915509984,17150,266.95394492149353
49,-105.68319912853794,-136.76656090396128,18.43462843747414,-39.76153915509984,17500,272.3696393966675
50,-97.22937418038562,-138.58972595248252,21.277237394274632,-39.76153915509984,17850,277.61275267601013
51,-105.5895183864668,-136.97837233726707,19.105023009131028,-39.76153915509984,18200,282.78012704849243
52,-79.4632680670441,-131.4090375392187,20.751953924529943,-39.76153915509984,18550,288.02709555625916
53,-106.82734344410181,-135.43146376425747,14.772497994419368,-39.76153915509984,18900,293.3060886859894
54,-98.64468062803664,-136.20033725126726,16.779155312343114,-39.76153915509984,19250,298.51277780532837
55,-76.9002729903109,-134.65512613545562,15.330287141245407,-39.76153915509984,19600,303.7281017303467
56,-105.36702672872542,-138.9728528842947,32.33080856505178,-39.76153915509984,19950,308.84101819992065
57,-90.05969390195705,-137.74917430218312,23.202051779256937,-39.76153915509984,20300,314.0921678543091
58,-99.80468809239828,-136.17661471509538,16.809547235936947,-39.76153915509984,20650,319.31437635421753
59,-101.0686563927335,-136.85730758827708,23.155568480202923,-39.76153915509984,21000,324.575359582901
60,-92.64462876125079,-138.55976447777834,20.665322525687014,-39.76153915509984,21350,329.8160443305969
61,-67.95549094658253,-137.7239909429609,23.06821571857876,-39.76153915509984,21700,334.9987118244171
62,-105.15611030951041,-139.7475384551555,18.644100359965396,-39.76153915509984,22050,340.145635843277
63,-90.00697499135057,-136.80079528750727,22.180282917895845,-39.76153915509984,22400,345.3341555595398
64,-100.06229120212852,-139.48769210280753,20.679545362705678,-39.76153915509984,22750,350.68628096580505
65,-95.96788453396702,-136.45784878856418,19.24829399362915,-39.76153915509984,23100,356.0957908630371
66,-93.64602122032284,-134.23145076265774,18.01471565978831,-39.76153915509984,23450,361.2910978794098
67,-102.41921052908451,-136.09101828633305,16.482598225767184,-39.76153915509984,23800,366.5811131000519
68,-95.40904855110676,-137.74818554856162,17.691350934890153,-39.76153915509984,24150,371.7916741371155
69,-83.25682032293041,-138.89451407848307,17.93922972201544,-39.76153915509984,24500,377.0957489013672
70,-90.58093776680234,-137.2765636879437,24.810182027294246,-39.76153915509984,24850,382.410617351532
71,-106.5873120607899,-136.87531634164972,18.98437446034315,-39.76153915509984,25200,387.6477382183075
