gen,best,mean,std,best_ever,total_evals,time
0,-94.90832871491304,-136.10484015432945,16.701050903136323,-94.90832871491304,315,4.447047710418701
1,-72.95717342203064,-537.3709677306894,352.9336606938161,-72.95717342203064,630,9.87524700164795
2,-90.54570869571634,-429.3693422111696,280.7209473244953,-72.95717342203064,945,14.884483098983765
3,-109.3951415523007,-333.067239560285,245.05176621404811,-72.95717342203064,1260,20.13162899017334
4,-82.95222428616432,-305.88372400026617,288.07627244438015,-72.95717342203064,1575,25.030086755752563
5,-37.86965450246472,-294.7553750205217,325.1392975931773,-37.86965450246472,1890,30.279160737991333
6,-91.89716096272558,-211.4511016515793,162.75588091831244,-37.86965450246472,2205,35.1485755443573
7,-79.55186899613872,-245.9285704573252,272.6757493769957,-37.86965450246472,2520,40.28547978401184
8,-66.86090991739647,-270.37430746182616,252.77805483350826,-37.86965450246472,2835,45.233391523361206
9,-48.74298019303672,-234.33515661748925,220.06645836105955,-37.86965450246472,3150,50.4250693321228
10,-77.65941351871842,-208.80750018210773,197.64911861553418,-37.86965450246472,3465,55.498393058776855
11,-107.49935599122489,-215.08738863368976,303.6963140833647,-37.86965450246472,3780,60.14013671875
12,-104.13345203903006,-178.9307095693195,139.99251534454092,-37.86965450246472,4095,64.76415252685547
13,-89.67992056962002,-179.99426378379235,155.8114324099212,-37.86965450246472,4410,69.44699668884277
14,-89.28095012146859,-181.22903774453857,173.63818630877304,-37.86965450246472,4725,74.1438500881195
15,-103.27983605239933,-192.49237059766375,137.97452902778085,-37.86965450246472,5040,78.85944533348083
16,-106.08537719993562,-175.0913256745991,146.79000765887864,-37.86965450246472,5355,83.44293308258057
17,-36.205600182577214,-195.99860723160452,198.32661965232498,-36.205600182577214,5670,88.41378378868103
18,-109.97841871193698,-205.30737959198078,218.660279956895,-36.205600182577214,5985,93.30944871902466
19,-116.01858633484987,-194.22852143335263,180.16877394203425,-36.205600182577214,6300,97.99922823905945
20,-89.39382954975801,-154.84289294571985,93.38899997466136,-36.205600182577214,6615,102.82230806350708
21,-69.7699846519655,-150.94325457606263,84.54028529421336,-36.205600182577214,6930,107.52044439315796
22,-107.64554638399306,-149.759221263705,54.9306757748314,-36.205600182577214,7245,112.30232167243958
23,-72.66008977398205,-161.80762818521225,137.78395935229665,-36.205600182577214,7560,117.14884448051453
24,-109.12094492474623,-179.88298873645962,159.9625146336802,-36.205600182577214,7875,122.08332252502441
25,-24.772598859095872,-152.8381952662327,97.83667171551195,-24.772598859095872,8190,126.72999691963196
26,-29.58526807179619,-154.31556355992979,115.39362083497964,-24.772598859095872,8505,131.66747903823853
27,-21.26202245794509,-125.37781286944737,39.14758331014297,-21.26202245794509,8820,137.15949296951294
28,-30.46279351028978,-132.9935756523641,67.70123574801059,-21.26202245794509,9135,142.29485511779785
29,-37.343083544706666,-131.45994076463566,50.46896338643536,-21.26202245794509,9450,147.74675917625427
30,-57.936145058184266,-119.41332283371112,34.861601931138686,-21.26202245794509,9765,153.1163785457611
31,-56.58858133817694,-132.50468672601022,71.0124683428935,-21.26202245794509,10080,158.71214270591736
32,-42.17373028340828,-124.6605847408055,82.76260312195699,-21.26202245794509,10395,164.39156818389893
33,-8.581641560754738,-110.34636157604848,43.53042568182494,-8.581641560754738,10710,169.95918822288513
34,-22.992675770740245,-125.29580556914576,111.8054835332712,-8.581641560754738,11025,175.61114358901978
35,-45.12036502842369,-119.2018353069031,44.07572570392591,-8.581641560754738,11340,181.21499180793762
36,-28.366680522375283,-117.90381168875915,55.151542371023574,-8.581641560754738,11655,186.69128322601318
37,-17.345493975636074,-108.40315066375783,39.59440946158597,-8.581641560754738,11970,192.14459037780762
38,-23.19985841350094,-106.73063082480083,35.78383057884622,-8.581641560754738,12285,197.33767795562744
39,-17.94741214215608,-95.2256200299808,30.835960010843984,-8.581641560754738,12600,202.65439581871033
40,-8.674778312943143,-96.32881018514875,38.14135455005163,-8.581641560754738,12915,208.27513098716736
41,-13.96247259052318,-93.0580648559754,38.50363331967001,-8.581641560754738,13230,213.77757358551025
42,-8.591313516997568,-88.58175484537401,35.56821941089434,-8.581641560754738,13545,219.2951214313507
43,-27.833155164142568,-100.07796427261307,38.142211792882506,-8.581641560754738,13860,225.13921117782593
44,-7.250925230404931,-90.87423057873181,38.566913033774334,-7.250925230404931,14175,231.23081612586975
45,-1.1525136322187137,-93.25504597787396,37.63094391278053,-1.1525136322187137,14490,236.98216319084167
46,-8.355601890364863,-92.51401193515505,42.637450899021914,-1.1525136322187137,14805,242.8044822216034
47,-3.0326968986256757,-105.36994111044582,39.03594499886985,-1.1525136322187137,15120,248.7360818386078
48,45.04291562158075,-90.51524431796034,43.27536680079938,45.04291562158075,15435,254.75713086128235
49,-6.433775845020773,-95.76986409919431,38.07258653477143,45.04291562158075,15750,260.6827096939087
50,3.5577971632470478,-98.75483349227878,37.45446133720932,45.04291562158075,16065,266.369686126709
51,-6.014133778788397,-99.40358020884946,38.444719037267625,45.04291562158075,16380,272.29890275001526
52,-40.66717522576103,-96.46706656564488,34.094878643010745,45.04291562158075,16695,277.7162206172943
53,-37.02183991229654,-91.93610259498395,34.31786110927841,45.04291562158075,17010,283.1526391506195
54,-42.5979208203659,-101.61708746940532,36.45121507989717,45.04291562158075,17325,288.5276048183441
55,-11.429005059175244,-90.46464197187326,32.445922670061805,45.04291562158075,17640,293.87302255630493
56,-30.655985176192928,-84.17875932208885,33.198083469377096,45.04291562158075,17955,299.50583505630493
57,-5.829629964303194,-92.00405149079056,40.58650035486797,45.04291562158075,18270,304.86651706695557
58,-19.079537005382036,-89.95320142965741,39.53146819668787,45.04291562158075,18585,310.38880157470703
59,32.15459546855253,-89.45923913832348,39.03055652603377,45.04291562158075,18900,315.88842391967773
60,-38.794215937068294,-83.65884300255243,30.975759364003682,45.04291562158075,19215,321.53877997398376
61,-9.993308555956053,-88.40458026789354,30.77013945891812,45.04291562158075,19530,327.17192578315735
62,-4.723625530405831,-83.27133665347512,35.89319296956262,45.04291562158075,19845,332.6587498188019
63,-42.55911403987966,-88.9734410806008,30.6077379623995,45.04291562158075,20160,338.0673608779907
64,-22.30595195246243,-87.78025504708515,30.461893732667203,45.04291562158075,20475,343.6297917366028
65,37.82730753355794,-80.31078554811431,33.75057882821333,45.04291562158075,20790,349.22626543045044
66,13.841761703562955,-83.66927380289717,32.952742540330135,45.04291562158075,21105,354.82040762901306
67,-31.226506212085916,-85.51033283191673,30.755773982059285,45.04291562158075,21420,360.3368253707886
68,-28.886590237753307,-82.71585551440627,32.40799704427741,45.04291562158075,21735,365.7791910171509
69,-9.266348283885355,-97.75913805092499,38.87780107252197,45.04291562158075,22050,371.40991973876953
70,18.560907527031624,-86.8483592607398,38.08621678167965,45.04291562158075,22365,377.05873441696167
71,35.13858025446149,-86.39487152875245,51.345490675677766,45.04291562158075,22680,382.91761445999146
72,-6.677524483039906,-81.61920044389221,33.71692405407434,45.04291562158075,22995,388.5543386936188
73,80.01949380401395,-82.35102891045942,39.735271837287,80.01949380401395,23310,394.47451424598694
74,-33.56323668741061,-88.8178107411713,35.453802237395905,80.01949380401395,23625,400.1214828491211
75,-12.400025815951006,-82.37911161061334,30.82626579230854,80.01949380401395,23940,405.71265935897827
76,-37.5863548290759,-96.32626010500465,34.95788949950115,80.01949380401395,24255,411.3697271347046
77,79.14086197128833,-88.69547308538372,39.06615062647833,80.01949380401395,24570,417.0992419719696
78,-22.378294310560204,-96.22719384831886,41.97315236997805,80.01949380401395,24885,422.8988354206085
79,75.9364517315739,-86.95568830247825,36.51452972197559,80.01949380401395,25200,428.31878089904785
