step,eval_mean,eval_std,train_mean,best_eval,time
10240,-134.17821773244708,55.58784594063038,-189.36108947271953,-134.17821773244708,5.536633253097534
20480,-712.8916361614039,288.39818490661764,-212.83792522306052,-134.17821773244708,11.277520656585693
30720,-693.3504008184038,251.6199632766997,-206.5121183205173,-134.17821773244708,16.89742159843445
40960,-649.8940209225774,173.47875642504025,-225.39248398989383,-134.17821773244708,22.621300220489502
51200,-233.1147636709558,65.00053688745086,-149.17899465483052,-134.17821773244708,28.39978337287903
61440,-1401.922858254851,1103.2924945275777,-130.62698727328126,-134.17821773244708,34.10076975822449
71680,-1108.8700318072804,622.3654142541803,-148.80666789706868,-134.17821773244708,39.777833700180054
81920,-691.9645343564036,382.70996754789445,-151.51692262449654,-134.17821773244708,45.3566460609436
90112,-1033.687774844214,457.2853052927802,-154.78610393898708,-134.17821773244708,49.89526414871216
100352,-183.8489474037073,18.704904708320502,-105.46003533759239,-134.17821773244708,57.028164863586426
110592,-426.29153013032436,47.77194370531128,-70.31345396305625,-134.17821773244708,62.83894324302673
120832,-518.5869695935613,31.34474725241954,-86.90012304825099,-134.17821773244708,68.8610987663269
131072,-223.65531007085733,18.58671695325037,-85.64748003207121,-134.17821773244708,74.65457129478455
141312,-453.37041629025964,149.6387018517819,-53.94098954575719,-134.17821773244708,80.89302825927734
151552,-886.7897776575501,223.48960775841346,-138.28888163403025,-134.17821773244708,86.61065578460693
161792,-973.2232618694567,161.55618100344992,-161.56116076667183,-134.17821773244708,92.39423847198486
172032,-653.929514501201,67.04104411805181,-162.848916934094,-134.17821773244708,97.97003388404846
180224,-590.8969059226044,112.02942367104642,-126.3937753230539,-134.17821773244708,102.55067563056946
190464,-1765.8802340020302,877.0320503555624,-115.37475832024639,-134.17821773244708,109.11847400665283
200704,-361.71734965808827,40.49029093549022,-105.73847409102011,-134.17821773244708,116.26562023162842
210944,-860.9896931183163,159.87471363205694,-39.86114799615509,-134.17821773244708,123.37158060073853
221184,-422.4053961870124,284.09584814954525,-20.88672569029588,-134.17821773244708,130.54396724700928
231424,-333.04734551125415,80.15316817774877,-8.763873120546352,-134.17821773244708,137.28188562393188
241664,-689.6755693142663,102.82271573821086,-126.15450553512254,-134.17821773244708,143.65695762634277
251904,-699.6797774418992,185.48970773655026,-226.6794997980965,-134.17821773244708,149.28285479545593
260096,-270.4977379670453,32.7624430448421,-217.47562305484476,-134.17821773244708,154.0139126777649
270336,-659.9245444165465,141.73656578883546,-170.2178649478301,-134.17821773244708,159.76262712478638
280576,-277.98530819756485,99.96111008458523,-111.61554560109583,-134.17821773244708,166.58991765975952
290816,-54.520887604325026,102.83577679263854,-63.26045105251211,-54.520887604325026,173.69165873527527
301056,-687.8192432864284,103.99881260562417,-39.736885019321434,-54.520887604325026,179.4247329235077
