generation,best_fitness,best_ever,mean_fitness,std_fitness,total_evals,time,sigma
0,-85.70666478537966,-85.70666478537966,-139.11909331092315,23.417992370623804,170,3.955124855041504,0.02
1,-120.79077748071069,-85.70666478537966,-511.69888480276256,337.5795651467972,340,8.713233232498169,0.020499999999999997
2,-101.9087409395909,-85.70666478537966,-434.57884706172877,277.3664146906224,510,13.336543560028076,0.021
3,-121.62975955151427,-85.70666478537966,-284.5618572968033,230.63068926454125,680,17.40784001350403,0.0215
4,-87.02650042288414,-85.70666478537966,-257.1771814866719,187.9430082408717,850,21.580068588256836,0.022000000000000002
5,-95.36034094793422,-85.70666478537966,-208.83495416425805,192.12159419435702,1020,25.856099605560303,0.0225
6,-88.80889709361487,-85.70666478537966,-208.04219629496723,128.5128634823718,1190,30.104115962982178,0.023
7,-63.55784011948681,-63.55784011948681,-195.56005859231882,149.55521915460398,1360,34.17019820213318,0.02
8,-110.86374738009833,-63.55784011948681,-202.4726903981812,153.20653046406557,1530,38.26739978790283,0.020499999999999997
9,-86.37946722422737,-63.55784011948681,-161.97602124246635,113.1694364264792,1700,42.38881278038025,0.021
10,-87.38839103771247,-63.55784011948681,-146.30123804108155,55.50700854498705,1870,46.395625591278076,0.0215
11,-69.0327971828625,-63.55784011948681,-172.00457062651947,90.10376917093417,2040,50.35462141036987,0.022000000000000002
12,-120.4220690333459,-63.55784011948681,-165.69664679562757,65.62822043145698,2210,54.33954071998596,0.0225
13,-92.01269362229304,-63.55784011948681,-164.85413105459327,96.94783498792746,2380,58.26641273498535,0.023
14,-72.84519495904581,-63.55784011948681,-155.2727169802179,80.2498633277256,2550,62.35885190963745,0.0235
15,-85.45916621307464,-63.55784011948681,-139.2274223459893,33.23302056073017,2720,66.42040491104126,0.024
16,-49.53911825613392,-49.53911825613392,-169.36364013371454,150.90681557966204,2890,70.91438889503479,0.02
17,-35.00464101262732,-35.00464101262732,-181.602448649176,148.26165647109946,3060,75.22299361228943,0.02
18,-23.034872813259362,-23.034872813259362,-124.21892681366961,42.62423824512889,3230,79.2485990524292,0.02
19,-28.955958729860946,-23.034872813259362,-146.91748851557057,69.14947017479824,3400,83.47093081474304,0.020499999999999997
