generation,best_fitness,best_ever,mean_fitness,std_fitness,total_evals,time,sigma
0,-85.14404110429497,-85.14404110429497,-133.01044033535717,19.957155059943034,170,3.988309621810913,0.02
1,-105.93123383795528,-85.14404110429497,-455.146747200535,259.1617038375427,340,8.274106740951538,0.020499999999999997
2,-124.89129475062323,-85.14404110429497,-376.3436749700714,235.82147439254516,510,12.536351442337036,0.021
3,-98.45047925927673,-85.14404110429497,-221.02722785971858,162.5451819219984,680,16.851171731948853,0.0215
4,-108.28268600409815,-85.14404110429497,-181.37647040771853,165.59364784646442,850,20.861489295959473,0.022000000000000002
5,-92.30667682810913,-85.14404110429497,-154.87618172848812,69.07184961625974,1020,24.78568983078003,0.0225
6,-91.47150375156174,-85.14404110429497,-143.77441014518183,89.0006014426092,1190,28.7241268157959,0.023
7,-96.69839826300549,-85.14404110429497,-143.09180842875546,53.55213214045152,1360,32.751500844955444,0.0235
8,-110.35121087888963,-85.14404110429497,-155.27635045791322,74.23815249332011,1530,36.637545108795166,0.024
9,-76.29977166394582,-76.29977166394582,-185.24337379426757,144.6955979198023,1700,40.46050262451172,0.02
10,-45.517286588966314,-45.517286588966314,-165.26730812134406,95.08507084181593,1870,44.51918268203735,0.02
11,-28.81885994270008,-28.81885994270008,-153.5728347328374,154.91105898002874,2040,48.64035081863403,0.02
12,-56.17189078187145,-28.81885994270008,-190.03258005190426,188.40559942307695,2210,53.539764165878296,0.020499999999999997
13,-41.518371083940636,-28.81885994270008,-153.96323142664835,113.90569743660201,2380,58.1570098400116,0.021
14,-62.17472465184854,-28.81885994270008,-154.6678700450127,99.7805628793897,2550,62.65811586380005,0.0215
15,-55.31482438464726,-28.81885994270008,-182.92539621718657,128.83153509818624,2720,67.09854793548584,0.022000000000000002
16,-53.84578982189606,-28.81885994270008,-144.10932874525264,74.36534254176878,2890,71.5776162147522,0.0225
17,-51.95766589932796,-28.81885994270008,-168.27601519359715,116.98882660952981,3060,76.16967916488647,0.023
18,-59.294897097322796,-28.81885994270008,-204.77127221332665,159.56376002449656,3230,80.92744135856628,0.0235
19,-84.2948498286703,-28.81885994270008,-173.50673013764606,112.30526409354154,3400,85.2979576587677,0.024
20,-95.48535372640335,-28.81885994270008,-167.1178076706731,107.80181412195168,3570,89.68762826919556,0.0245
21,-84.47679491141811,-28.81885994270008,-173.10239019065028,116.85603344300536,3740,94.08597779273987,0.025
22,-49.75927429788586,-28.81885994270008,-182.84200033935537,136.74911414243607,3910,98.94187593460083,0.0255
23,-33.42798259282632,-28.81885994270008,-198.7359521113983,188.60563298879836,4080,103.8174991607666,0.026000000000000002
24,-59.73958453841942,-28.81885994270008,-183.1603327608413,127.71823101943997,4250,108.29742503166199,0.0265
25,-49.04127786458126,-28.81885994270008,-188.40015166422228,154.5374339782363,4420,112.60664057731628,0.027000000000000003
26,-7.038557294559936,-7.038557294559936,-180.15705635136626,133.87835022834716,4590,117.31974911689758,0.02
27,-53.37098626821163,-7.038557294559936,-172.77032059289218,167.50383885170666,4760,121.73385310173035,0.020499999999999997
28,-66.94986715683207,-7.038557294559936,-196.33761373275908,252.02103062529582,4930,126.25887417793274,0.021
29,-37.44611028388814,-7.038557294559936,-215.70191821390196,309.47833505212884,5100,130.89922189712524,0.0215
30,-35.20656049541315,-7.038557294559936,-148.92381356629573,104.82434334877028,5270,135.425922870636,0.022000000000000002
31,-18.238640007530915,-7.038557294559936,-160.5903966607442,171.1154987315391,5440,140.09573936462402,0.0225
32,-41.479832955830524,-7.038557294559936,-235.94653900746766,255.8951364733466,5610,144.83485102653503,0.023
33,-38.433526360404755,-7.038557294559936,-204.03739722259212,193.53060439268918,5780,149.75387287139893,0.0235
34,-49.36217427276658,-7.038557294559936,-175.91998065680573,165.75457186492346,5950,154.61135411262512,0.024
35,-43.46618815228798,-7.038557294559936,-143.50613482455802,136.27185122297098,6120,159.3204083442688,0.0245
36,-39.5410896436175,-7.038557294559936,-149.47448186221186,137.0995216122809,6290,163.7260308265686,0.025
37,-41.86348996803371,-7.038557294559936,-131.4414167109079,82.0186636017062,6460,167.910493850708,0.0255
38,-43.21336677131945,-7.038557294559936,-155.00920529853283,161.04510006381787,6630,172.40162301063538,0.026000000000000002
39,-51.502017718802115,-7.038557294559936,-168.04312300460052,146.037719092799,6800,176.987806558609,0.0265
40,-50.04397646372066,-7.038557294559936,-160.40834313054077,142.6762770436391,6970,181.77157473564148,0.027000000000000003
41,-34.235309983447856,-7.038557294559936,-165.6806771394409,126.79530561863709,7140,186.4785351753235,0.0275
42,-68.24126220813474,-7.038557294559936,-192.74568885006644,153.4300109881898,7310,191.10068345069885,0.027999999999999997
43,-39.292793030128706,-7.038557294559936,-187.06629591530225,182.68179171125527,7480,195.72869515419006,0.0285
44,-18.940841311020353,-7.038557294559936,-193.191593608019,196.64138459923572,7650,200.23855805397034,0.028999999999999998
45,-17.913953781790394,-7.038557294559936,-149.355328859021,117.99039011166091,7820,204.8232638835907,0.029500000000000002
46,42.56824215650981,42.56824215650981,-186.69417632083528,178.31669810103818,7990,209.73110008239746,0.02
47,-19.150027115986774,42.56824215650981,-128.10125492972082,115.34366913262126,8160,214.69719886779785,0.020499999999999997
48,-8.437490215475483,42.56824215650981,-148.96302110480568,144.76046967357297,8330,219.80163383483887,0.021
49,-10.718299219170229,42.56824215650981,-93.51501895342395,78.50250787541214,8500,224.502379655838,0.0215
50,-32.0002154535134,42.56824215650981,-135.8631206762624,117.00580080726192,8670,229.20114970207214,0.022000000000000002
51,-36.644941142498745,42.56824215650981,-139.31208132843585,112.47725701859945,8840,233.82619667053223,0.0225
52,26.567504707471848,42.56824215650981,-128.03680418061805,111.81936827438584,9010,238.71888256072998,0.023
53,-34.64558673231579,42.56824215650981,-121.68985696819796,68.13749018535984,9180,243.76341152191162,0.0235
54,-38.006802925204674,42.56824215650981,-111.36509300382627,54.46748198997198,9350,248.95096349716187,0.024
55,-33.58410872401569,42.56824215650981,-168.3073813721245,119.15715562957682,9520,254.2850193977356,0.0245
56,2.9129558118099057,42.56824215650981,-120.207966902955,83.40005220352455,9690,259.0942964553833,0.025
57,-26.744202226127744,42.56824215650981,-109.87919271083523,72.9230848054253,9860,264.0924758911133,0.0255
58,-30.261172700184318,42.56824215650981,-149.06299163353043,107.24041233384838,10030,268.90147137641907,0.026000000000000002
59,-14.264585666228944,42.56824215650981,-165.6470093659681,256.461050159718,10200,274.1014244556427,0.0265
60,-46.87173139140308,42.56824215650981,-151.33900641462853,107.17569124022761,10370,279.34990668296814,0.027000000000000003
61,-9.684809332301882,42.56824215650981,-123.48908648356175,79.53427574504073,10540,284.35911226272583,0.0275
62,-23.792203869977566,42.56824215650981,-138.82558495479736,78.8661868278842,10710,289.4808747768402,0.027999999999999997
63,5.778690964367047,42.56824215650981,-127.66124814722004,75.65733220969715,10880,294.56765961647034,0.0285
64,-14.48478434748688,42.56824215650981,-120.78195802317144,51.75562243040566,11050,299.5329155921936,0.028999999999999998
65,-49.62910889795262,42.56824215650981,-125.28679623678708,48.443088841408716,11220,304.4095060825348,0.029500000000000002
66,-46.974997856187684,42.56824215650981,-135.94658795873002,73.5450363664713,11390,309.24387979507446,0.03
67,-27.333195788461992,42.56824215650981,-146.2775710822024,92.67629969139098,11560,313.7218544483185,0.0305
68,-25.76508418959375,42.56824215650981,-114.36112127384487,69.61752686677961,11730,318.6287853717804,0.031000000000000003
69,22.87835157772189,42.56824215650981,-139.49448019998204,100.6277768363162,11900,323.6444067955017,0.0315
