generation,best_fitness,best_ever,mean_fitness,std_fitness,sigma,total_evals,elapsed
1,-136.80023942111416,-136.80023942111416,-440.9051308724321,170.04706904645164,0.49843935319919414,135,0.6
2,-109.9363209992725,-109.9363209992725,-431.17138369341734,223.76028209143044,0.4969421941298452,270,1.0
3,-115.26837467745477,-109.9363209992725,-376.8506433584553,173.719237278843,0.4954952935915412,405,1.4
4,-43.31048162209804,-43.31048162209804,-351.9549864904321,187.86277574241709,0.49408844187395323,540,1.8
5,-128.63365274862466,-43.31048162209804,-343.9607438773351,167.189272585267,0.4927147674403529,675,2.3
6,-99.63768122813336,-43.31048162209804,-302.4015814923099,170.5284429938274,0.49137335565971535,810,2.7
7,-115.15759233329027,-43.31048162209804,-285.2495766311947,165.22465460763658,0.49006045644183027,945,3.1
8,-123.46763267286846,-43.31048162209804,-282.046657594837,147.542481422063,0.48878044097498524,1080,3.5
9,-118.15541251906151,-43.31048162209804,-251.34064213901,149.32287170688656,0.48752679979824304,1215,4.0
10,-135.74884344821874,-43.31048162209804,-259.08051029431965,150.64114237445975,0.48629692642951505,1350,4.4
11,-70.2847069711707,-43.31048162209804,-262.70083851692095,181.94367344388996,0.48509228515943137,1485,4.7
12,-126.06289196911288,-43.31048162209804,-226.78921179572356,110.75055334845398,0.4839105564056365,1620,5.1
13,-107.58557671185224,-43.31048162209804,-197.4877101338769,110.27091961444053,0.4827502808246317,1755,5.5
14,-102.18277488053627,-43.31048162209804,-182.6391385223045,105.40464414778309,0.48160903554106826,1890,5.9
15,-110.62465934230042,-43.31048162209804,-222.0481884881911,114.32617826763413,0.4804865234664072,2025,6.2
